inchikey,smiles_std,pIC50_B2,pIC50_B1,scaffold
PZAQNJGIBDLZTR-CQSZACIVSA-N,CCC(=O)N[C@@H]1CCc2c(-c3ccc4c(c3)CCC(=O)N4C)n[nH]c2C1,,,O=C1CCc2cc(-c3n[nH]c4c3CCCC4)ccc2N1
PZFUZWYMAXRGCW-IBGZPJMESA-N,CCS(=O)(=O)N1CCC[C@H](Oc2cncc(-c3ccc4c(c3)CCC(=O)N4C)c2)C1,6.94692155651658,6.145086977692144,O=C1CCc2cc(-c3cncc(O[C@H]4CCCNC4)c3)ccc2N1
QAKWGGGUFODUDA-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(C4(N)COC4)c3)ccc21,6.386158178123931,5.456925764966468,O=C1CCc2cc(-c3cncc(C4COC4)c3)ccc2N1
QCWGJSMLTQUONO-IBGZPJMESA-N,CN1C(=O)CCc2cc(-c3cncc(O[C@H]4CCN(C(=O)OC(C)(C)C)C4)c3)ccc21,7.309803919971486,6.406713932979542,O=C1CCc2cc(-c3cncc(O[C@H]4CCNC4)c3)ccc2N1
QCWGJSMLTQUONO-LJQANCHMSA-N,CN1C(=O)CCc2cc(-c3cncc(O[C@@H]4CCN(C(=O)OC(C)(C)C)C4)c3)ccc21,8.096910013008056,6.343901797987169,O=C1CCc2cc(-c3cncc(O[C@@H]4CCNC4)c3)ccc2N1
QDCRYZDLHWXAIG-AWEZNQCLSA-N,CN1C(=O)CCc2cc(-c3cncc(O[C@H]4CCNC4)c3)c(F)cc21,,,O=C1CCc2cc(-c3cncc(O[C@H]4CCNC4)c3)ccc2N1
QDCRYZDLHWXAIG-CQSZACIVSA-N,CN1C(=O)CCc2cc(-c3cncc(O[C@@H]4CCNC4)c3)c(F)cc21,6.795880017344075,5.114921615850776,O=C1CCc2cc(-c3cncc(O[C@@H]4CCNC4)c3)ccc2N1
QFDACSWYMHXVRD-UHFFFAOYSA-N,COc1ncc(C(=O)NCc2cncc(-c3ccc4c(c3)CCC(=O)N4C)c2)cn1,8.096910013008056,7.698970004336019,O=C1CCc2cc(-c3cncc(CNC(=O)c4cncnc4)c3)ccc2N1
QJFQPBZIEDIWJE-UHFFFAOYSA-N,CC(C)CC(=O)NCc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1,7.376750709602099,6.651695136951839,O=C1CCc2cc(-c3cccnc3)ccc2N1
QLVKGSAJVVTTAL-DYRBKOKXSA-N,[2H]C([2H])([2H])OC(=O)N[C@@H]1CCOc2c(-c3ccc4c(c3)COC(=O)N4C)cncc21,8.214670164989233,6.3124710387853655,O=C1Nc2ccc(-c3cncc4c3OCCC4)cc2CO1
QLVKGSAJVVTTAL-OAHLLOKOSA-N,COC(=O)N[C@@H]1CCOc2c(-c3ccc4c(c3)COC(=O)N4C)cncc21,8.18045606445813,6.242603971206976,O=C1Nc2ccc(-c3cncc4c3OCCC4)cc2CO1
QNEBUXDECVUSDC-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4cn(CC(F)(F)F)nc4C4CC4)c3)ccc21,7.657577319177793,5.775725985705742,O=C1CCc2cc(-c3cncc(CNC(=O)c4c[nH]nc4C4CC4)c3)ccc2N1
QQOQWLPLLCCNSG-UHFFFAOYSA-N,CCS(=O)(=O)NCc1cncc(-c2cc(F)c3c(ccc(=O)n3C)c2)c1,5.508498233762674,,O=c1ccc2cc(-c3cccnc3)ccc2[nH]1
QSPSQNATESVKTP-UHFFFAOYSA-N,Cc1c(-c2cc3c(cc2F)N(C)C(=O)CC3)cncc1C(C)NC(=O)c1ncccc1Cl,7.886056647693163,6.536107011014093,O=C1CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc2N1
QTPBIGUPVWLHRH-HXUWFJFHSA-N,CN1C(=O)CCc2cc(-c3cncc4c3CCC[C@H]4NC(=O)N3CCC3)ccc21,7.47755576649368,,O=C1CCc2cc(-c3cncc4c3CCC[C@H]4NC(=O)N3CCC3)ccc2N1
QWOWYFFENBMXLD-UHFFFAOYSA-N,Cc1nc(C(=O)NCc2cncc(-c3ccc4c(c3)CCC(=O)N4C)c2)co1,7.107905397309519,6.147520006363144,O=C1CCc2cc(-c3cncc(CNC(=O)c4cocn4)c3)ccc2N1
QZXPTFRYJRAFPZ-UHFFFAOYSA-N,CN1C(=O)CCc2cc(-c3cncc(CNC(=O)c4ncccc4F)c3)ccc21,8.221848749616356,7.1249387366083,O=C1CCc2cc(-c3cncc(CNC(=O)c4ccccn4)c3)ccc2N1
RDQPEYCXPWXJGF-HXUWFJFHSA-N,CN1C(=O)CCc2cc(-c3cncc4c3CCC[C@H]4NC(=O)C3CC3)ccc21,7.335358024443875,5.62712480320661,O=C1CCc2cc(-c3cncc4c3CCC[C@H]4NC(=O)C3CC3)ccc2N1
RDYLLQAKHZLUTA-UHFFFAOYSA-N,CN(Cc1cncc(-c2ccc3c(c2)CCC(=O)N3C)c1)C(=O)c1cnn(C)c1,8.154901959985743,6.72584215073632,O=C1CCc2cc(-c3cncc(CNC(=O)c4cn[nH]c4)c3)ccc2N1
